Provinsi,2019,2020,2021,2022,2023
Aceh,132070,131581,135274,140972,146932
Sumatera Utara,539514,533746,547652,573529,602236
Sumatera Barat,172006,168326,172691,182629,191071
Riau,495607,489996,506472,529533,551282
Jambi,349111,343851,351851,361130,369649
Sumatera Selatan,315465,315129,326405,343460,360911
Bengkulu,46345,46338,47854,49916,52041
Lampung,244378,237662,246966,257354,269241
Bangka-Belitung,53942,52706,53700,57805,60038
Kepulauan Riau,338587,174959,180952,196282,200044
Jakarta Raya,1836241,1792291,1856001,1953489,2050466
Jawa Barat,1490960,1534381,1507741,1589985,1669147
Jawa Tengah,991517,965227,997321,1021302,1102563
Yogyakarta,386899,393071,407773,417120,418177
Jawa Timur,1649896,1611393,1668754,1757875,1844809
Banten,456620,441149,439160,484131,507427
Bali,162693,147499,143872,158300,159448
Nusa Tenggara Barat,93872,93289,95438,102074,103906
Nusa Tenggara Timur,68939,68110,70541,72565,75258
Kalimantan Barat,137243,134743,141212,136489,154981
Kalimantan Tengah,100349,98031,100427,105337,110889
Kalimantan Selatan,133284,130864,135425,142341,149231
Kalimantan Timur,418621,432974,448236,463132,474119
Kalimantan Utara,61418,62063,63486,66528,68177
Sulawesi Utara,86906,90965,89606,97532,101703
Sulawesi Tengah,127935,131044,141966,153377,163181
Sulawesi Selatan,263694,263535,267353,272646,280304
Sulawesi Tenggara,123258,125193,130735,135804,138105
Gorontalo,28430,28425,29548,31168,31648
Sulawesi Barat,32284,32489,32941,33816,35426
Maluku,30676,30765,30355,35038,35357
Maluku Utara,26598,26341,27104,44482,48495
Papua Barat,62075,61604,61289,62519,40955
Papua Barat Daya,,,,,24009
Papua,134566,137877,158675,172847,175662
Papua Selatan,,,,18643,18143
Papua Tengah,,,,,101066
Papua Pegunungan,,,,,13173